P00027739T0000|0 28|Serum gamma glutamyltransferase
P01256410T0001|16 31|factor II molecule
P08589358A0841|16 29|erythropoietin
P08861963A0375b|16 29|RNA polymerases
P10723723A0781|16 28|mouse promoter
P10601335A0892|16 27|mannosidase I
P07588628A0318|16 27|wild-type p53
P09575187A1558|16 24|NF-kappaB
P09990507A0000|16 24|ubiquitin
P00622556A0111|16 23|collagen
P02157141A0923|16 23|T antigen
P08385581A0126|16 21|REC114
P09417108A0000|16 21|RanBP1
P01939199A0588|16 20|TFIID
P09446616A0780|16 20|Raf-1
P11427329A1077|16 20|FPS-R
P09305631A0770|16 20|BAG-1
P11103792A0755|16 20|c-Myc
P02236022A0000|16 20|c-myb
P09710582A0535|16 19|AP-1
P02117799T0000a|16 19|OKT3
P09155024A0955|16 19|EFG1
P02117799T0000b|16 19|OKT3
P07854130A1387|16 19|PilE
P09792714A1408|16 19|AF-1
P09713996A0262|16 19|MDR1
P07280654A0000|16 18|HBE
P10362652A1456|16 18|Sos
P10102136A0220|16 18|PSA
P10360454A0916|16 18|TNF
P07487363A0447|16 18|IgE
P09341193A0362|16 18|Sp1
P10620335A0749|16 18|AHR
P09171239A2146|16 18|RXR
P09837913A0000|16 17|D2
P03759330A0713|16 17|F1
P09285789A0712|17 47|guanine nucleotide exchange factor
P11126275A1068|17 46|anticardiolipin immunoglobulin G
P09121430A0132|17 46|mitogen-activated protein kinase
P11038317A0000|17 35|GTP-binding proteins
P03335398A0568|17 31|immunoglobulin G
P08491383A1291|17 29|alpha-subunit
P10773951A0000|17 29|anti B antibody
P09155015A0140|17 29|protein kinase
P09192786T0000|17 27|human LU gene
P10190324A0000|17 27|elastin gene
P07489502A0000|17 26|NS1 protein
P09426183A0000|17 25|NF-kappaB
P11404016A1922|17 25|TE domains
P09434185A0902|17 25|SPP1 genes
P10022921A0608|17 24|SIN3 gene
P09671579A1168|17 22|pax2.1
P09575143A1189|17 22|ZAP-70
P08668142A1048|17 21|hARF4
P10890911A0470|17 21|Smad3
P08917435A0481|17 21|c-Jun
P09710599A0310|17 21|ets-2
P01700272A0838|17 21|B4 RNA
P07579704A0085|17 21|actin
P10051488A1293|17 20|AP-1
P09199286A0086|17 20|mkh1
P11029045A0000|17 20|Cdc2
P09351823A0414|17 20|MAPK
P11566996A1391|17 20|uvrA
P09079928A1319|17 20|OxyR
P02038784A0317|17 19|ARC
P10526670A1828|17 19|ICE
P10965905A1618|17 19|Akt
P09042078A0202|17 19|MBF
P09860979A0521|17 19|Cas
P09000049A1341|17 19|Max
P08290278A0374|17 19|Mad
P09763446A0000|17 19|Ypt
P09366517A0835|17 19|WT1
P07540773A0576|17 19|MBP
P07890674A0916|17 19|APC
P07935471A0613|17 19|HSF
P07563072A0773|17 18|P1
P07780738A0091|17 18|G1
P09638342T0000|17 18|L1
P02983331T0000|18 56|endogenous corticotropin-releasing factor
P01647656A0000|18 50|myocardial beta-adrenergic receptor
P09813063T0000|18 44|murine phospholipase D homolog
P01409581A0206|18 38|E26 virus-encoded v-ets
P09891009T0000|18 38|mouse glycolate oxidase
P02033038A0309|18 36|human E3 polypeptides
P10771528T0036|18 36|alkaline phosphatase
P08189498T0000|18 36|immediate-early gene
P08962614A0000|18 32|immunoglobulin E
P02034676A0267|18 30|rhombotin gene
P10773667A0351|18 30|HMG20 proteins
P08824585A0260|18 30|protein kinase
P02863747T0000|18 29|histone genes
P07665187A0824|18 27|S1 nuclease
P02076620A0548|18 27|fibrinogen
P08670853A0000|18 27|E-cadherin
P08900296A0000|18 27|E-selectin
P09988682T0033|18 26|human cDNA
P09792627A0441|18 26|NF-kappaB
P07565104A0084|18 26|pilin gene
P11469701A0377|18 24|insulin
P01426635A0496|18 22|ZFH-2
P11058120A0256|18 22|IRF-2
P10359014A1077|18 22|Fra-2
P07528531A0904|18 22|G-CSF
P08178446A1160|18 22|ICP10
P07933076A0211|18 22|EBNA2
P10602502A0422|18 21|Tob2
P07791776T0000|18 21|fus1
P09751114A0967|18 21|MyoD
P10068637A1320|18 21|Nkx2
P10618645A0750|18 21|AP-1
P01313909A0526|18 21|ICP0
P08643646A0479|18 21|verA
P02509123A0371|18 20|IFN
P11158236A0000|18 20|NGF
P08634420A1784|18 20|Epo
P08771787T0000|18 20|LRP
P11071924A0588|18 20|SH2
P08538382A1012|18 20|EPO
P08676454A0731|18 20|Pra
P08394019A0695|18 20|GST
P08985122A0501|18 19|P1
P10807903A0362|18 19|CT
P11275986A0091|18 19|E6
P01900194T0000|19 55|mitochondrial NADH-ubiquinone reductase
P09169593T0000|19 54|mitogen-activated protein kinase kinase
P10082554T0000|19 46|c-myc promoter binding protein 1
P07929560T0000|19 43|plakoglobin-binding domain
P08622893A0000|19 41|receptor tyrosine kinases
P03697971A0311|19 39|glutathione peroxidase
P08041362T0000|19 38|cysteine synthase cDNA
P09862481A0000|19 35|zinc finger protein
P08263933T0000|19 34|P-type ATPase gene
P02123820A0000|19 34|monoamine oxidase
P11160929T0000|19 33|DNA-binding site
P09267439A0000|19 32|ras superfamily
P04515631T0000|19 31|antithrombin 3
P08601616A0726|19 29|pds1 mutants
P02831556A0173|19 27|alpha-MSH
P08204824A0000|19 27|cyc07 gene
P11525640A0560|19 27|ERK kinase
P10873387A0816|19 27|human gene
P08208540A0000|19 27|NFKB2 gene
P01321336A0731|19 26|ALF1 cDNA
P09515032A1230|19 25|p21 mRNA
P07651131A1407|19 24|DNase I
P01931966A0490|19 24|pADPRP
P08150970A0434|19 24|TSST-1
P09760243A0970|19 23|ATF-2
P10637230A0332|19 23|c-myc
P10556089A0901|19 23|etr-1
P01552853A1377|19 22|virF
P08763953A0805|19 22|traF
P08954725A1175|19 22|Tbx6
P09743233A0526|19 22|AP-1
P11804081A0552|19 22|ENRP
P09712898A0911|19 22|SAPK
P11263664A1085|19 22|SIP1
P10733569A0364|19 22|HSF1
P11121434A0915|19 21|Erk
P10666238A1322|19 21|E2F
P09442172A0908|19 21|FSH
P11469970A0873|19 21|SOD
P10734312A0503|19 21|Shc
P00603783A0647|19 21|IgM
P07628451A0114|19 21|E1A
P09625762A0426|19 21|E1A
P06685643A0179|19 20|C4
P08589358A0235|20 49|recombinant human erythropoietin
P05781385T0000|20 44|phenolphthalein sulphatase
P01588913A0000|20 42|Escherichia coli dnaA gene
P08763311A0189|20 40|alpha-1 adrenoreceptor
P02869125A0120|20 36|mu-opiate receptor
P10540292A1179|20 36|spv virulence genes
P11566874T0000|20 36|cytoplasmic dynein
P09892736A0343|20 35|C-terminal region
P01837787T0000|20 34|full-length cDNA
P10628750T0000|20 32|nuclear factor
P05322558T0000|20 32|hemagglutinin
P07988559A0836|20 29|RBP-J kappa
P09218775A1229|20 29|cysB mutant
P09886843A0339|20 28|human gene
P10082137A0262|20 28|IFN-gamma
P09914500A0000|20 28|NF-kappaB
P11279086A1350|20 28|ADAM-TS12
P07609079A0387|20 27|HIV-1 LTR
P07739542A1419|20 26|cyclin E
P09230307A0329|20 25|GATA-1
P08601806A0875|20 24|RPF-1
P09605137A0677|20 24|c-Jun
P01537845A0571|20 24|c-myb
P10325413A1211|20 24|c-Abl
P09486531A0638|20 24|HFH-8
P03987818A0440|20 23|AP-A
P10430944A1298|20 23|STAT
P08497280A0266|20 23|SWI4
P08978690A0262|20 23|Mec1
P08566773A1023|20 23|CTS2
P10391246A0756|20 23|TAK1
P09736697A1107|20 23|IL-6
P08663127A0697|20 23|KCC1
P08649372A0755|20 23|Mbp1
P07563072A0773|20 23|lacZ
P09537651A0366|20 23|STAT
P10225945A0436|20 23|MAD2
P01939906A0233|20 22|MFP
P09729481A1177|20 22|Sp1
P07865129A0293|20 22|CRE
P08997532A0116|20 22|IgE
P00453780A0430|20 22|IgA
P07841663A0685|20 22|SOD
P09261155A0833|20 22|PTB
P10049357A0608|20 22|Ski
P09218459A0000|20 22|SRF
P11557127A0991|20 22|Sp1
P09341193A0362|20 22|Sp3
P10976413A0514|20 22|FSH
P11250942A0626|20 22|VDR
P09324988X0000|20 22|p21
P10597223A0339|20 22|Ras
P11416012A1982|20 22|PKA
P09618481T0000|20 22|p21
P02669199A0000|20 22|TNF
P10411139A0887|20 21|U6
P10650938T0000|20 21|ER
P09703213A0280|20 21|D1
P11427329A1077|20 20|R
P07007591A0324|20 20|R
P10413676A0000|21 49|transmembrane integrin receptor
P10195425T0000|21 44|transcription factor MTF-1
P11062068T0000|21 44|mitogen-activated protein
P02167321T0000|21 42|cAMP-responsive element
P00792847A0000|21 42|antilymphocyte globulin
P00866577A0579|21 41|plasminogen activators
P09837978T0093|21 41|c-Jun N-terminal kinase
P09203585A0660|21 40|recombinant H19 allele
P04328746T0073|21 37|cytochrome oxidase
P09798068A0290|21 35|full-length cDNA
P03771670T0058|21 35|antithrombin III
P09174049A1788|21 35|histone H1 kinase
P08183915T0000|21 34|RNA transcripts
P10762348A0269|21 32|STAT proteins
P07655505A0527|21 31|GT-2 protein
P10407184A0149|21 31|betaAPP gene
P08113736A0309|21 29|CRSV RNA-1
P01447189A1546|21 29|RNK-Met-1
P02209605A0510|21 28|MSAS gene
P06750608A1442|21 28|lts genes
P10865422A0138|21 28|ferritin
P07887226A0858|21 28|ferritin
P06341139A0213|21 27|insulin
P11872359A0000|21 27|insulin
P09188863A0954|21 26|CDC25B
P10501969A1329|21 26|GATA-5
P02123877A1452|21 25|c-fos
P10502402A0129|21 25|TRAIL
P07504712A0843|21 25|actin
P09478976T0000|21 25|c-Fos
P08919907A0763|21 25|VSF-1
P10733591A0533|21 25|Cdc42
P09023378A0959|21 24|CBF1
P11101847A0159|21 24|E2F1
P10359664A0579|21 24|Cdk2
P07814321A0850|21 24|ponA
P10694210A0385|21 23|H1R
P11274179A0610|21 23|Rac
P09236224A0939|21 23|p21
P08871635A0000|21 23|BCR
P09236118A1455|21 23|Lrp
P07494244A0335|21 23|YY1
P09142146A0887|21 23|PAF
P11254713A1029|21 23|Tat
P09799237A0624|21 23|Srf
P09029091A0881|21 23|TCR
P09670943T0000|21 23|BCR
P08276234A0119|21 23|YY1
P01842498A0000|21 22|R2
P09331864A0230|21 22|E2
P10627532A0739|21 21|R
P00716366T0001|22 50|alkaline phosphatase isoenzymes
P09642238A0532|22 47|erythroid-specific enhancer
P08300605A0671|22 47|homeodomain-binding element
P09588228A0370|22 46|anticytokeratin 19 antibody
P11195338A0494|22 44|dominant mutant Lg3 allele
P08583846A0807|22 38|beta-2 transferrin
P04544704T0001|22 37|rheumatoid factor
P02837763A0259|22 36|human liver clone
P07592711T0000|22 33|yeast protein
P09656485A0351|22 33|Lian elements
P00989973A0000|22 31|fibrinogen
P02333545A0313|22 31|fibrinogen
P10585480A0157|22 30|SH3 domain
P08692885A0663|22 30|NF-kappaB
P09882638A0235|22 29|collagen
P07809128T0000|22 29|E2F1 gene
P08647086A0622|22 29|cyclin D1
P09572511A0148|22 28|RBI-MAP
P09724754A0173|22 26|STATs
P09341192T0000|22 26|GLUT4
P10819327T0000|22 26|KAP-1
P10909973A1508|22 26|GLP-1
P07609037A0775|22 26|Oct-1
P03065610A0375|22 25|lacZ
P06316347A0852|22 25|lacZ
P07597488T0000|22 25|G6PD
P11121490A0000|22 25|CHOP
P10688666A1010|22 25|ASK1
P10523647A0000|22 25|CHOP
P08190633A0000|22 25|AP-2
P09323366A0000|22 25|MLS1
P10692433A0000|22 24|E2F
P09860979A0521|22 24|Cas
P02796988A0735|22 24|Sp1
P09931118A1072|22 24|JNK
P09294471A1198|22 24|CD4
P08508774A0242|22 24|Lrp
P11074003A0741|22 24|Shh
P09971776A0838|22 24|CD4
P08420571A1880|22 24|PC4
P08676454A0731|22 23|N0
P09048617A0648|23 44|tyrosine kinase receptor
P07883193A0000|23 39|DNA-binding domain
P09950394A0336|23 39|carboxyhemoglobin
P04088936T0001|23 37|antithrombin III
P08668158A1252|23 37|mutant RPM1 genes
P08663120T0000|23 33|p70 S6 kinase
P07890674A0916|23 32|E-cadherin
P03296212A0603|23 32|interferon
P01468625A0282|23 31|HIS3 cDNAs
P07693975T0000|23 30|protease
P10602507A0652|23 30|cyclin D1
P06101359T0000|23 29|insulin
P06346427A0000|23 29|insulin
P08386318A1102|23 29|JRE-IL6
P09427627T0000|23 29|insulin
P11602353A0770|23 27|HFH-1
P07487363A0447|23 27|asIgE
P10347203A0832|23 27|STAT3
P03517388A0763|23 27|CK-MB
P04757217T0000|23 26|LP-X
P11323716A0413|23 26|DDI1
P10488148A1267|23 26|MAPK
P10839547A0978|23 26|CTCF
P08387507A1015|23 26|MyoD
P09287352A0930|23 26|STAT
P09323366A0299|23 26|MLS1
P10775038A0142|23 26|Wee1
P09927193A0107|23 26|PLZF
P01572549A0000|23 26|PTKs
P01612085A0624|23 25|EPO
P10435595A0203|23 25|Tax
P07687541A0992|23 25|Ran
P10597222A1371|23 25|p27
P07802655T0000|23 25|YY1
P10406465A0589|23 25|VDR
P09891046A0269|23 25|PKR
P10644357A0935|23 25|VP1
P02530413A0195|23 25|ANP
P02133731A1572|23 25|CBF
P10779329T0000|23 25|Src
P10037681A0494|23 25|ARF
P09611877A0455|23 25|CSF
P09182527A0443|23 25|p53
P10878398A0542|23 25|Epo
P09651367T0000|23 25|Ras
P09765388T0000|23 25|p73
P03060846T0000|23 24|L1
P11306463A0383|23 24|Rb
P02833049A0630|23 24|U3
P02496109A0754|23 24|S1
P04066194A0163|23 24|N1
P10454570A0846|24 53|mitogen-activated protein kinase
P09374541T0000|24 46|E2F recognition sequences
P08993393T0000|24 42|immediate-early gene
P09446600A0260|24 41|beta-galactosidase
P07859301A0325|24 40|DNA-binding domain
P10958698A0485|24 39|N-terminal domain
P11314030A1264|24 39|C-terminal region
P02154602A0092|24 37|mouse Mx protein
P09275164A0000|24 37|eukaryotic mRNA
P11595176T0000|24 37|human SPEC1 gene
P07476701A0654|24 36|IgE antibodies
P09335298A0529|24 35|parCBA operon
P08144497T0000|24 34|raf-1 kinase
P01662807A1182|24 33|TR promoter
P11389085A1032|24 32|NF-kappaB
P08413260A1437|24 32|Rb protein
P08922390A2076|24 31|paxillin
P09348226A0852|24 30|insulin
P09354684A1158|24 30|Sp1 site
P00232354A0286|24 30|insulin
P10429946A0473|24 29|alpha 2
P11470914A0305|24 28|STAT3
P09544991A0483|24 28|SHP-2
P02843495A0544|24 28|CSF-1
P09079638A0883|24 28|CXCR2
P10085140A1004|24 28|ATF-2
P10342829A0236|24 28|GnRHR
P08980536A1196|24 28|G-box
P10693314A0521|24 28|CK-MB
P09032258A0395|24 28|LFA-3
P09079904A0995|24 27|sodA
P07883167A0157|24 27|UPF1
P09180687A0096|24 27|SulA
P10398682A0365|24 27|VP16
P01448107A0361|24 27|GCN2
P11108720A0124|24 27|S6K1
P09032259A0150|24 27|Rac1
P01708774A0203|24 27|AP-1
P00780639X0000|24 26|CEA
P09067577A0307|24 26|BCR
P08972182A0527|24 26|ICE
P08918885A0811|24 26|GST
P10570262A0000|24 26|TCR
P10485470A0242|24 26|Sp1
P11360190A0178|24 26|Tax
P10329586A0414|24 25|FN
P07835710T0000|25 56|porcine I kappa B alpha-encoding gene
P11560992A0000|25 54|mitogen-activated protein kinase
P10656802A1724|25 51|cathepsin X amino acid sequence
P02713994A0482|25 46|anti HSV type 2 antibodies
P10652228A0759|25 45|c-Jun N-terminal kinase
P06816123A0526|25 45|glutathione peroxidase
P01480183A0000|25 44|human lactoferrin gene
P00221725A0523|25 41|cytochrome oxidase
P07514295A0000|25 40|cellular proteins
P10406466A0000|25 40|nuclear receptors
P01316903A0296|25 39|RNA polymerase II
P10556595A0391|25 38|mutant recN gene
P10861080A0433|25 36|IkappaBalpha
P10955998A1124|25 35|glycosylase
P01874195A0139|25 34|GH receptor
P02164604A1574|25 34|E2 proteins
P07565688T0000|25 34|interferon
P08971835A1057|25 33|alpha-MSH
P08631820A0755|25 32|FPS1 gene
P08917435A0481|25 29|c-Fos
P09154819A0501|25 29|c-Jun
P09278445T0000|25 29|RNase
P01674817A0862|25 29|RNA14
P10544037A0617|25 29|FZD10
P10567581A0119|25 29|HNF-3
P11274179A0610|25 29|Cdc42
P11368911T0000|25 29|smg-4
P08647086T0000|25 28|Cdk2
P07706396T0000|25 28|SEC1
P02176209A0954|25 28|NF-Y
P09211981A0526|25 28|gar2
P09618150A1464|25 28|AP-1
P10232600T0000|25 27|PSA
P08470021A0195|25 27|IgG
P07853524A1944|25 27|GST
P10022875A1265|25 27|Ras
P10823961A0664|25 27|CBP
P08332495A0408|25 27|CAT
P09673436A0898|25 27|ANP
P09924987A0000|25 27|PAP
P10805738A0799|25 27|p38
P08891337A0614|25 27|E1A
P10512882A0137|25 27|FAK
P10521450A0437|25 27|Lyn
P10954093A0000|25 27|Pat
P09380507A0514|25 27|GST
P10972990A0526|25 26|E6
P00932738A0116|25 26|BP
P02817724A0075|25 26|T1
P10627532A0739|25 25|Z
P02324104A0151|26 57|cAMP-dependent phosphotransferase
P09368760A0665|26 55|Drosophila protein kinase DSTPK61
P11108720A1130|26 49|mitogen-activated protein
P11027294A0483|26 49|histone acetyltransferase
P09617807A0929|26 45|reverse transcriptase
P08499916A0000|26 40|type VII collagen
P03933784A0420|26 37|CSF prolactin
P10607566A0880|26 37|beta-catenin
P11763176A0918|26 37|antithrombin
P10198061A0339|26 37|beta-catenin
P10640701T0000|26 35|Engrailed2
P09889306A0321|26 35|Glvr-1 gene
P07707523A0704|26 34|NF-kappa B
P07628389A0145|26 33|TNF alpha
P10652324A0177|26 33|collagen
P07565712A0286|26 33|LYS2 gene
P02437792T0000|26 32|amylase
P10903440A0515|26 31|TSGF-2
P08704240A1111|26 31|GM-CSF
P01930660T0000|26 30|IGF-1
P09199318A1147|26 30|actin
P10918612A0000|26 30|c-Jun
P09671496A0557|26 30|c-Cbl
P08774732A0271|26 30|egr-1
P09380707A0714|26 29|BCL6
P09920930A0521|26 29|RhoA
P10702794A1495|26 29|ERK2
P09150728A0596|26 29|HES1
P11789206A1182|26 29|MIRI
P08300625A1352|26 29|slyD
P07065206A0398|26 29|TXB2
P02679804A2000|26 29|ura3
P02046202A0625|26 28|IgA
P09556566A0174|26 28|VDR
P08615025A1214|26 28|Env
P08816507A1125|26 28|E1A
P09047344A0000|26 28|CBP
P09712898A0911|26 28|p38
P07935370A0000|26 28|CD4
P10438924A1009|26 28|Akt
P09531549A0658|26 28|GST
P07891720A0818|26 28|C1F
P09488486A0000|26 28|TBP
P09239635A0477|26 28|IgG
P08973630A0923|26 28|Rac
P08228805A0540|26 28|TCR
P07865129A0293|26 28|TBP
P04066194A0163|26 27|P2
P08728040T0000|27 61|extracellular signal-regulated kinase
P09618150A0127|27 51|insulin-like growth factor I
P09111309A0674|27 50|mitogen-activated protein
P01808136T0000|27 46|coagulation factor XII
P08226798A1124|27 45|HIV envelope proteins
P07916327A0250|27 44|human goosecoid gene
P10205176A0704|27 43|DNA-binding domain
P08309953A0776|27 42|dopamine receptor
P07816808A1102|27 42|STR family of genes
P10660304A0522|27 41|tyrosine kinases
P02002051A0276|27 41|full-length cDNA
P02204623A0000|27 41|insulin receptor
P08972211A0059|27 40|endogenous gene
P11226228A0899|27 40|yeast TyrRS gene
P07704040A0000|27 39|mouse NMO1 cDNA
P08202546A1206|27 39|hUBF-promoter
P08663392A0215|27 39|human DSG3 gene
P09668063A0274|27 37|Ets proteins
P10772977A0222|27 37|PVX CP mutant
P10211329A0457|27 37|serum lipase
P10453006A0478|27 36|human genes
P08336543A0243|27 36|L1 elements
P08617800A0150|27 36|erbB-2 gene
P08824798A0761|27 36|LIM domains
P11050084A0888|27 35|PPARalpha
P09647233A0336|27 35|HIV-1 gene
P08833653A0783|27 33|insulin
P01723962A0165|27 33|amylase
P07798217T0000|27 33|CREB341
P11579100T0000|27 31|Stat3
P07983744A0920|27 31|IE110
P09760243A0970|27 31|HNF-4
P08816482A0234|27 31|Stat5
P09544991A0750|27 31|SHP-2
P08887661A1061|27 31|TFIIB
P02674141A1202|27 30|CTSE
P08848052A0733|27 30|Gle1
P10574992A0901|27 30|p300
P09418871A0620|27 30|E2F1
P09049304A1193|27 30|AP-2
P08637711A1121|27 30|IL-6
P10393969A0000|27 30|ICP0
P09468386A0594|27 30|PEA3
P02026461A0760|27 30|DRB1
P10910908A0767|27 30|PI3K
P09837907A0857|27 30|IL-4
P02229282A0454|27 29|TNF
P11152283A0223|27 29|NGF
P09528766A0915|27 29|ERK
P03352947T0001|27 29|ARC
P11313946T0000|27 29|Ras
P04214345T0000|27 29|IgG
P10696007A1325|27 28|C2
P10775585A0754|27 28|S2
P08497273T0000|28 73|murine immunoglobulin heavy-chain 3' alpha enhancer
P09533030T0000|28 61|succinate-ubiquinone oxidoreductase
P07673128A0989|28 46|cAMP response element
P10644753A0725|28 44|anti-FLAG antibody
P10907971T0000|28 43|HMG-CoA reductase
P02711601A0601|28 42|acid phosphatase
P03275873A0379|28 42|RNA polymerase II
P09414287A0637|28 42|Sp1 binding sites
P02030910A0000|28 40|human ETS1 gene
P11160096A1067|28 40|wild-type fliF
P10076007A0656|28 40|casein kinase 2
P09927449A0421|28 39|alpha-factor
P07929165T0000|28 38|actVI region
P10677214A1045|28 38|E44D mutants
P07518257A0351|28 37|S1 nuclease
P09886850A0145|28 36|PPARgamma
P10590092A0124|28 36|HIV-1 gene
P08585324A0467|28 35|SSC1 gene
P02684585T0001|28 35|rhGM-CSF
P08806491A0542|28 35|ODV-EC27
P09545638A1181|28 34|HRMT1L2
P11566961A0472|28 34|insulin
P07999995A0000|28 33|OsPK10
P08386279A1621|28 32|EBNA2
P08643578A0532|28 32|Cdc42
P11830544A0335|28 32|HER-2
P08063836A0904|28 32|c-myc
P08245456A0501|28 31|IL-5
P07735833A1078|28 31|LysU
P00033873T0001|28 31|GGTP
P10864989A0484|28 31|PAIP
P08784787A0383|28 31|PAR2
P10758489A0206|28 31|ICK2
P07234308A0121|28 31|CHOP
P10375718A0000|28 31|bFGF
P09826778A0943|28 31|p300
P02269426A0428|28 30|Tat
P02473907A1338|28 30|IgE
P10648020A0151|28 30|vWF
P10812294X0000|28 30|SBF
P09605137A0677|28 30|p65
P10195697A0456|28 30|CBP
P09381261A0970|28 30|EPO
P09032259A0972|28 30|JNK
P11435517A0396|28 29|CP
P07859739T0000|28 29|Rb
P09335619A0583|28 28|R
P08132541A0000|29 55|T-cell-specific human MAL gene
P11356853A0873|29 54|basic-leucine zipper factors
P08823163T0000|29 52|diphtheria toxin repressor
P07739520A1250|29 46|Surfeit gene cluster
P01737741A0000|29 44|monoamine oxidase
P01649539T0000|29 43|myeloperoxidase
P08731511A0625|29 43|antithrombin III
P07981246A0112|29 42|pertussis toxin
P11687517A1619|29 41|mouse promoter
P07949164A0799|29 39|kappa B motif
P09761791A0489|29 39|SRZ proteins
P01324385A0329|29 38|anti-HHV-6
P09917389A1239|29 38|finP305 RNA
P09407090T0000|29 37|human gene
P10448902A0921|29 36|catalase
P10653550A1120|29 36|collagen
P09881666A0535|29 36|CREB site
P10191090A0000|29 36|PAX3 gene
P02020314A1290|29 34|GM-CSF
P09322872A0745|29 34|TK gene
P03865743A0859|29 33|LDL-C
P11145571A0788|29 33|STAT1
P08617237A0489|29 33|STAT5
P09710591A0981|29 33|c-fos
P08980533A1160|29 33|ENBP1
P09787323A0000|29 32|IL-6
P08631822A0677|29 32|VEGF
P07859777A0000|29 32|rHSA
P10413676A1193|29 32|FRNK
P08740416A0919|29 32|SEB2
P09388199A0948|29 32|FadR
P10823961A0664|29 32|p300
P10383966A0000|29 32|PBPs
P06434587A0551|29 31|FSH
P10329625A0715|29 31|CD4
P02994253A0482|29 31|NTE
P07729427A0942|29 31|TBP
P08413291A1473|29 31|TnI
P10669736A0903|29 31|CAT
P07853524A1944|29 31|Tax
P08248246A0838|29 31|Sp1
P09050847A0180|29 31|TBP
P09376626A0737|29 30|T4
P08584026A0115|29 30|P1
P10750020A0843|29 30|ER
P08534855A0000|30 66|chloroplast omega-3 fatty acid desaturase
P10523663A0404|30 62|Drosophila homeobox activator DEAF-1
P02495745T0000|30 60|tissue-type plasminogen activator
P09712898T0000|30 58|stress-activated protein kinase
P07935426A0714|30 55|N-terminal zinc finger domain
P11278440A0095|30 50|S1 transmembrane domain
P08103935T0000|30 49|SRF accessory proteins
P09235998A0788|30 49|alpha and beta subunits
P10101198A0632|30 47|recombinant protein
P10749849A0000|30 47|tumor suppressor p53
P03894482A0549|30 47|serum IgE antibodies
P07636962A1883b|30 45|DNA binding domain
P01909027A0922|30 45|DNA binding domain
P10652102A0620|30 42|wild-type Fus3
P08973917A0632|30 42|human PWP2 gene
P09595496A0000|30 41|endothelin-1
P07635572A1153|30 38|IFN-gamma
P11593394A0000|30 37|TGF-beta
P08508778A0112|30 37|NOP1 gene
P10074425A0729|30 36|cyclin E
P09765271A1108|30 36|insulin
P11435428A0000|30 35|AceCS1
P08196616A1112|30 35|ZAP-70
P08943354A0295|30 34|SHP-1
P09867253A0229|30 34|c-Fos
P02124710A0193|30 34|c-fos
P08657135A1444|30 33|CKII
P10224244T0000|30 33|Glc7
P08649389A0000|30 33|CTCF
P08025669A0724|30 33|rpoN
P10706688A0376|30 33|AP-1
P09990315A0205|30 33|ERK2
P01330309A1134|30 33|MyoD
P10485470A0242|30 32|Sp3
P01722479A0302|30 32|HCG
P10747099A0507|30 32|ERK
P08230418A0812|30 32|LTR
P01774093T0000|30 32|IgM
P07112320A0086|30 32|ADA
P08428965A1868|30 32|CBP
P00464387A1185|30 32|IgE
P01083784T0000|30 32|IgE
P11355576A1125|30 32|CDK
P09380507A0514|30 32|E2F
P09704857T0000|30 32|CD4
P08760286A0696|30 32|Vav
P08631760A0609|30 32|SH2
P09305870A0894|30 32|p55
P06414990A0057|30 32|TRH
P07651386A0925|30 32|p53
P09827446T0001|30 31|C4
P09510925A0389|30 31|Hb
P10684967A0000|31 72|homeodomain-containing transcription factors
P09222115A0545|31 69|endogenous corticotropin-releasing factor
P02928112T0000|31 60|human U2 snRNA-specific A' protein
P02391344T0000|31 59|rat NADH-cytochrome b5 reductase
